headline,clean_text,sentiment
East Germany balloon escape(wikipedia.org),east germany balloon escapewikipediaorg,neutral
Left in the cold: Study finds most renters shut out of energy-saving upgrades(binghamton.edu),left cold study finds renters shut energysaving upgradesbinghamtonedu,neutral
Cloudflare acquires Astro(astro.build),cloudflare acquires astroastrobuild,neutral
Releasing rainbow tables to accelerate Net-NTLMv1 protocol deprecation(cloud.google.com),releasing rainbow tables accelerate netntlmv protocol deprecationcloudgooglecom,neutral
LLM Structured Outputs Handbook(nanonets.com),llm structured outputs handbooknanonetscom,neutral
6-Day and IP Address Certificates Are Generally Available(letsencrypt.org),day ip address certificates generally availableletsencryptorg,neutral
Cursor's latest “browser experiment” implied success without evidence(embedding-shapes.github.io),cursors latest browser experiment implied success without evidenceembeddingshapesgithubio,positive
"Michelangelo's first painting, created when he was 12 or 13(openculture.com)",michelangelos first painting created openculturecom,neutral
Just the Browser(justthebrowser.com),browserjustthebrowsercom,neutral
Install.md: A standard for LLM-executable installation(mintlify.com),installmd standard llmexecutable installationmintlifycom,neutral
Patching the Wii News Channel to serve local news (2025)(raulnegron.me),patching wii news channel serve local news raulnegronme,neutral
Dell UltraSharp 52 Thunderbolt Hub Monitor(dell.com),dell ultrasharp thunderbolt hub monitordellcom,neutral
STFU(github.com/pankajtanwarbanna),stfugithubcompankajtanwarbanna,neutral
HTTP RateLimit Headers(dotat.at),http ratelimit headersdotatat,neutral
Reading across books with Claude Code(pieterma.es),reading across books claude codepietermaes,neutral
Lock-Picking Robot(github.com/etinaude),lockpicking robotgithubcometinaude,neutral
Elasticsearch was never a database(paradedb.com),elasticsearch never databaseparadedbcom,neutral
Slop is everywhere for those with eyes to see(fromjason.xyz),slop everywhere eyes seefromjasonxyz,neutral
Why DuckDB is my first choice for data processing(robinlinacre.com),duckdb first choice data processingrobinlinacrecom,neutral
Launch HN: Indy (YC S21) – A support app designed for ADHD brains(shimmer.care),launch hn indy yc support app designed adhd brainsshimmercare,neutral
Emoji Use in the Electronic Health Record is Increasing(jamanetwork.com),emoji use electronic health record increasingjamanetworkcom,neutral
"Zep AI (Agent Context Engineering, YC W24) Is Hiring Forward Deployed Engineers(ycombinator.com)",zep ai agent context engineering yc w hiring forward deployed engineersycombinatorcom,neutral
Re: Mix: open-source repairable blender(github.com/openfunkhq),mix opensource repairable blendergithubcomopenfunkhq,neutral
Show HN: B-IR – An LLM-optimized programming language(github.com/imjasonh),show hn bir llmoptimized programming languagegithubcomimjasonh,neutral
An Ode to the Return of Wysiwyg(jeffverkoeyen.com),ode return wysiwygjeffverkoeyencom,neutral
Dev-owned testing: Why it fails in practice and succeeds in theory(acm.org),devowned testing fails practice succeeds theoryacmorg,negative
Show HN: 1Code – Open-source Cursor-like UI for Claude Code(github.com/21st-dev),show hn code opensource cursorlike ui claude codegithubcomstdev,neutral
Drawbot: Let's hack something cute (2025)(atredis.com),drawbot lets hack something cute atrediscom,neutral
"Read_once(), Write_once(), but Not for Rust(lwn.net)",readonce writeonce rustlwnnet,neutral
"psc: The ps utility, with an eBPF twist and container context(github.com/loresuso)",psc ps utility ebpf twist container contextgithubcomloresuso,neutral
